TYPE,ENCODEDKEY,PARENTACCOUNTKEY, AMOUNT ,date,
DEFERRED_INTEREST_PAID,8a10eb704ee43411014ef75509566178,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,4/8/2015,"14,286.88"
,,,,,
DEFERRED_INTEREST_APPLIED,8a1a2fbd4f1c1730014f23ec18a50be6,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,12/8/2015,"14,550.00"
REPAYMENT,8a1a2fbd4f1c1730014f23ec18c70be7,8a9d7e284b75fe4b014b7a05572a0b1b,"2,500.00",12/8/2015,"12,050.00"
,,,,,
REPAYMENT,8a29976f4f7d0d5d014f8aae0cf83e88,8a9d7e284b75fe4b014b7a05572a0b1b,"2,500.00",1/9/2015,"9,550.00"
DEFERRED_INTEREST_APPLIED,8a29976f4f7d0d5d014f8aae0ce13e87,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,1/9/2015,"9,286.88"
,,,,,
INTEREST_APPLIED,8a37bb394f7088b5014f91d6181c5c50,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/9/2015,"9,550.00"
DEFERRED_INTEREST_PAID,8a37bb394f7088b5014f91d6182f5c51,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,3/9/2015,"9,286.88"
,,,,,
REPAYMENT,8a39828a501e4c67015028e5416e5e4b,8a9d7e284b75fe4b014b7a05572a0b1b,300,2/10/2015,"8,986.88"
,,,,,
DEFERRED_INTEREST_APPLIED,8a2aa6ab501e375501504dc058110077,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,9/10/2015,"9,250.00"
REPAYMENT,8a2aa6ab501e375501504dc058280078,8a9d7e284b75fe4b014b7a05572a0b1b,"2,200.00",9/10/2015,"7,050.00"
,,,,,
INTEREST_APPLIED,8a1ead514fdcae590150505e3eda27c1,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,10/10/2015,"7,313.12"
DEFERRED_INTEREST_PAID,8a1ead514fdcae590150505e3eed27c2,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,10/10/2015,"7,050.00"
,,,,,
REPAYMENT,8a1a175d512429b40151269612ba0286,8a9d7e284b75fe4b014b7a05572a0b1b,"1,201.82",20/11/2015,"5,848.18"
DEFERRED_INTEREST_APPLIED,8a1a175d512429b401512696129d0285,8a9d7e284b75fe4b014b7a05572a0b1b,203.64,20/11/2015,"6,051.82"
,,,,,
INTEREST_APPLIED,8a0c42315111070f015128bac53f5712,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,21/11/2015,"6,314.94"
DEFERRED_INTEREST_PAID,8a0c42315111070f015128bac5565713,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,21/11/2015,"6,051.82"
,,,,,
DEFERRED_INTEREST_APPLIED,8a6a80b1515cbacd01515f9881ed3c8d,8a9d7e284b75fe4b014b7a05572a0b1b,59.48,1/12/2015,"6,111.30"
REPAYMENT,8a6a80b1515cbacd01515f9882153c8e,8a9d7e284b75fe4b014b7a05572a0b1b,100,1/12/2015,"6,011.30"
REPAYMENT,8a6a80b1515cbacd01515f98e1173c93,8a9d7e284b75fe4b014b7a05572a0b1b,343,1/12/2015,"5,668.30"
REPAYMENT,8a6a80b1515cbacd01515f99406b3c97,8a9d7e284b75fe4b014b7a05572a0b1b,"1,400.00",1/12/2015,"4,268.30"
,,,,,
DEFERRED_INTEREST_APPLIED,8a29819551872d9601518ceb91be7106,8a9d7e284b75fe4b014b7a05572a0b1b,247.85,10/12/2015,"4,516.15"
REPAYMENT,8a29819551872d9601518ceb91e67107,8a9d7e284b75fe4b014b7a05572a0b1b,657,10/12/2015,"3,859.15"
,,,,,
INTEREST_APPLIED,8a33215651489b2a01518fbc6e8e50a3,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,11/12/2015,"4,122.27"
DEFERRED_INTEREST_PAID,8a33215651489b2a01518fbc6ea950a4,8a9d7e284b75fe4b014b7a05572a0b1b,263.12,11/12/2015,"3,859.15"
,,,,,
REPAYMENT,8a8188ae51f3d72d0152130c92d81637,8a9d7e284b75fe4b014b7a05572a0b1b,"4,400.00",5/1/2016,-540.85
DEFERRED_INTEREST_APPLIED,8a8188ae51f3d72d0152130c92c41636,8a9d7e284b75fe4b014b7a05572a0b1b,278.39,5/1/2016,-262.46
REPAYMENT,8a8188ae51f3d72d0152130cd2b9164f,8a9d7e284b75fe4b014b7a05572a0b1b,263.78,5/1/2016,-526.24
DEFERRED_INTEREST_PAID,8a8188ae51f3d72d0152130ce4641654,8a9d7e284b75fe4b014b7a05572a0b1b,526.24,5/1/2016,
