type,id,accountstate,date
loan,18437,CLOSED_WRITTEN_OFF,02/02/2016
loan,18439,CLOSED_WRITTEN_OFF,02/02/2016
loan,18440,CLOSED_WRITTEN_OFF,02/02/2016
loan,18441,CLOSED_WRITTEN_OFF,02/02/2016
loan,18442,CLOSED_WRITTEN_OFF,02/02/2016
loan,18443,CLOSED_WRITTEN_OFF,02/02/2016
loan,18445,CLOSED_WRITTEN_OFF,01/02/2016
loan,18520,CLOSED_WRITTEN_OFF,02/02/2016
loan,18521,CLOSED_WRITTEN_OFF,02/02/2016
loan,18545,CLOSED_WRITTEN_OFF,05/02/2016
loan,18547,CLOSED_WRITTEN_OFF,05/02/2016
loan,18548,CLOSED_WRITTEN_OFF,05/02/2016
loan,18551,CLOSED_WRITTEN_OFF,29/01/2016
loan,18552,CLOSED_WRITTEN_OFF,02/02/2016
loan,18555,CLOSED_WRITTEN_OFF,02/02/2016
loan,18558,CLOSED_WRITTEN_OFF,02/02/2016
loan,18568,CLOSED_WRITTEN_OFF,02/02/2016
loan,18570,CLOSED_WRITTEN_OFF,02/02/2016
loan,18571,CLOSED_WRITTEN_OFF,29/01/2016
loan,18615,CLOSED_WRITTEN_OFF,02/02/2016
loan,18616,CLOSED_WRITTEN_OFF,02/02/2016
loan,18617,CLOSED_WRITTEN_OFF,02/02/2016
loan,20803,CLOSED_WRITTEN_OFF,05/02/2016
loan,20804,CLOSED_WRITTEN_OFF,08/12/2015
loan,20815,CLOSED_WRITTEN_OFF,02/02/2016
loan,20816,CLOSED_WRITTEN_OFF,02/02/2016
loan,20822,CLOSED_WRITTEN_OFF,29/01/2016
loan,20823,CLOSED_WRITTEN_OFF,29/01/2016
loan,20847,CLOSED_WRITTEN_OFF,08/12/2015
loan,21981,CLOSED_WRITTEN_OFF,30/01/2016
loan,21983,CLOSED_WRITTEN_OFF,30/01/2016
loan,21984,CLOSED_WRITTEN_OFF,30/01/2016
loan,21985,CLOSED_WRITTEN_OFF,30/01/2016
loan,21986,CLOSED_WRITTEN_OFF,30/01/2016
loan,21987,CLOSED_WRITTEN_OFF,30/01/2016
loan,21988,CLOSED_WRITTEN_OFF,30/01/2016
loan,21989,CLOSED_WRITTEN_OFF,30/01/2016
loan,21991,CLOSED_WRITTEN_OFF,30/01/2016
loan,21993,CLOSED_WRITTEN_OFF,30/01/2016
loan,21994,CLOSED_WRITTEN_OFF,30/01/2016
loan,22243,CLOSED_WRITTEN_OFF,30/01/2016
loan,22244,CLOSED_WRITTEN_OFF,30/01/2016
loan,22245,CLOSED_WRITTEN_OFF,30/01/2016
loan,22246,CLOSED_WRITTEN_OFF,30/01/2016
loan,22247,CLOSED_WRITTEN_OFF,30/01/2016
loan,22248,CLOSED_WRITTEN_OFF,30/01/2016
loan,22249,CLOSED_WRITTEN_OFF,30/01/2016
loan,22250,CLOSED_WRITTEN_OFF,30/01/2016
loan,22251,CLOSED_WRITTEN_OFF,30/01/2016
loan,22252,CLOSED_WRITTEN_OFF,30/01/2016
loan,22253,CLOSED_WRITTEN_OFF,30/01/2016
loan,22254,CLOSED_WRITTEN_OFF,31/01/2016
loan,22255,CLOSED_WRITTEN_OFF,31/01/2016
loan,22256,CLOSED_WRITTEN_OFF,31/01/2016
loan,22257,CLOSED_WRITTEN_OFF,31/01/2016
loan,22258,CLOSED_WRITTEN_OFF,31/01/2016
loan,22259,CLOSED_WRITTEN_OFF,31/01/2016
loan,22260,CLOSED_WRITTEN_OFF,31/01/2016
loan,22261,CLOSED_WRITTEN_OFF,31/01/2016
loan,22262,CLOSED_WRITTEN_OFF,31/01/2016
loan,22293,CLOSED_WRITTEN_OFF,19/02/2015
loan,22741,CLOSED_WRITTEN_OFF,11/02/2015
loan,22751,CLOSED_WRITTEN_OFF,11/02/2015
loan,22869,CLOSED_WRITTEN_OFF,18/02/2015
loan,22897,CLOSED_WRITTEN_OFF,18/02/2015
loan,23159,CLOSED_WRITTEN_OFF,10/02/2015
loan,23241,CLOSED_WRITTEN_OFF,10/02/2015
loan,23345,CLOSED_WRITTEN_OFF,10/02/2015
loan,23353,CLOSED_WRITTEN_OFF,10/02/2015
loan,23396,CLOSED_WRITTEN_OFF,10/02/2015
loan,23409,CLOSED_WRITTEN_OFF,10/02/2015
loan,23560,CLOSED_WRITTEN_OFF,10/02/2015
loan,23658,CLOSED_WRITTEN_OFF,10/02/2015
loan,23712,CLOSED_WRITTEN_OFF,18/02/2015
loan,23877,CLOSED_WRITTEN_OFF,10/02/2015
loan,23902,CLOSED_WRITTEN_OFF,10/02/2015
loan,23950,CLOSED_WRITTEN_OFF,11/02/2015
loan,23979,CLOSED_WRITTEN_OFF,10/02/2015
loan,24032,CLOSED_WRITTEN_OFF,19/02/2015
loan,24048,CLOSED_WRITTEN_OFF,10/02/2015
loan,24820,CLOSED_WRITTEN_OFF,19/02/2015
loan,24930,CLOSED_WRITTEN_OFF,11/02/2015
loan,25005,CLOSED_WRITTEN_OFF,19/02/2015
loan,25145,CLOSED_WRITTEN_OFF,30/01/2015
loan,25232,CLOSED_WRITTEN_OFF,19/02/2015
loan,25259,CLOSED_WRITTEN_OFF,19/02/2015
loan,25349,CLOSED_WRITTEN_OFF,30/01/2015
loan,25393,CLOSED_WRITTEN_OFF,21/01/2015
loan,25421,CLOSED_WRITTEN_OFF,19/02/2015
loan,25436,CLOSED_WRITTEN_OFF,19/02/2015
loan,25464,CLOSED_WRITTEN_OFF,19/02/2015
loan,25577,CLOSED_WRITTEN_OFF,19/02/2015
loan,25602,CLOSED_WRITTEN_OFF,19/02/2015
loan,25612,CLOSED_WRITTEN_OFF,19/02/2015
loan,26940,CLOSED_WRITTEN_OFF,27/01/2016
loan,26942,CLOSED_WRITTEN_OFF,21/01/2015
loan,26943,CLOSED_WRITTEN_OFF,21/01/2015
loan,26944,CLOSED_WRITTEN_OFF,21/01/2015
loan,26960,CLOSED_WRITTEN_OFF,21/01/2015
loan,26961,CLOSED_WRITTEN_OFF,21/01/2015
loan,26966,CLOSED_WRITTEN_OFF,21/01/2015
loan,26967,CLOSED_WRITTEN_OFF,21/01/2015
loan,26971,CLOSED_WRITTEN_OFF,13/02/2015
loan,26985,CLOSED_WRITTEN_OFF,05/02/2015
loan,26986,CLOSED_WRITTEN_OFF,05/02/2015
loan,26987,CLOSED_WRITTEN_OFF,05/02/2015
loan,26988,CLOSED_WRITTEN_OFF,05/02/2015
loan,26989,CLOSED_WRITTEN_OFF,05/02/2015
loan,26990,CLOSED_WRITTEN_OFF,05/02/2015
loan,26991,CLOSED_WRITTEN_OFF,05/02/2015
loan,26992,CLOSED_WRITTEN_OFF,05/02/2015
loan,26993,CLOSED_WRITTEN_OFF,05/02/2015
loan,26996,CLOSED_WRITTEN_OFF,05/02/2015
loan,26999,CLOSED_WRITTEN_OFF,05/02/2015
loan,27000,CLOSED_WRITTEN_OFF,21/01/2015
loan,27011,CLOSED_WRITTEN_OFF,21/01/2015
loan,27056,CLOSED_WRITTEN_OFF,21/01/2015
loan,27057,CLOSED_WRITTEN_OFF,21/01/2015
loan,27059,CLOSED_WRITTEN_OFF,21/01/2015
loan,27060,CLOSED_WRITTEN_OFF,21/01/2015
loan,27061,CLOSED_WRITTEN_OFF,21/01/2015
loan,27062,CLOSED_WRITTEN_OFF,21/01/2015
loan,27065,CLOSED_WRITTEN_OFF,21/01/2015
loan,27066,CLOSED_WRITTEN_OFF,21/01/2015
loan,27067,CLOSED_WRITTEN_OFF,21/01/2015
loan,27071,CLOSED_WRITTEN_OFF,21/01/2015
loan,27089,CLOSED_WRITTEN_OFF,13/02/2015
loan,27091,CLOSED_WRITTEN_OFF,13/02/2015
loan,27093,CLOSED_WRITTEN_OFF,13/02/2015
loan,27094,CLOSED_WRITTEN_OFF,13/02/2015
loan,27098,CLOSED_WRITTEN_OFF,21/01/2015
loan,27099,CLOSED_WRITTEN_OFF,21/01/2015
loan,27100,CLOSED_WRITTEN_OFF,13/02/2015
loan,27106,CLOSED_WRITTEN_OFF,21/01/2015
loan,27107,CLOSED_WRITTEN_OFF,21/01/2015
loan,27110,CLOSED_WRITTEN_OFF,13/02/2015
loan,27134,CLOSED_WRITTEN_OFF,05/02/2015
loan,27204,CLOSED_WRITTEN_OFF,05/02/2015
loan,27205,CLOSED_WRITTEN_OFF,05/02/2015
loan,27221,CLOSED_WRITTEN_OFF,13/02/2015
loan,27241,CLOSED_WRITTEN_OFF,05/02/2015
loan,27242,CLOSED_WRITTEN_OFF,05/02/2015
loan,27243,CLOSED_WRITTEN_OFF,05/02/2015
loan,27244,CLOSED_WRITTEN_OFF,21/01/2015
loan,27245,CLOSED_WRITTEN_OFF,05/02/2015
loan,27246,CLOSED_WRITTEN_OFF,21/01/2015
loan,27247,CLOSED_WRITTEN_OFF,05/02/2015
loan,27248,CLOSED_WRITTEN_OFF,05/02/2015
loan,27249,CLOSED_WRITTEN_OFF,05/02/2015
loan,27256,CLOSED_WRITTEN_OFF,13/02/2015
loan,27257,CLOSED_WRITTEN_OFF,21/01/2015
loan,27345,CLOSED_WRITTEN_OFF,05/02/2016
loan,29267,CLOSED_WRITTEN_OFF,09/12/2015
loan,29270,CLOSED_WRITTEN_OFF,09/12/2015
