PARENTACCOUNTKEY,PRINCIPALDUE,INTERESTDUE,FEESDUE,date
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-07-03
8a10c7ed49c563400149ca26ceec5b0e,0.0000000000,0.0000000000,0.0000000000,2015-08-03
8a10c7ed49c563400149ca26ceec5b0e,7271.1100000000,772.0000000000,0.0000000000,2015-09-03
8a10c7ed49c563400149ca2aa0175bfb,1255.0000000000,0.0000000000,0.0000000000,2018-12-03
8a10ca994b09d039014b0e1d85e56713,122.5000000000,140.0000000000,37.5000000000,2015-02-03
8a10ca994b09d039014b0e1d85e56713,122.5000000000,140.0000000000,37.5000000000,2015-03-03
8a10ca994b09d039014b0e1d85e56713,60.5000000000,140.0000000000,37.5000000000,2015-04-03
8a10ca994b09d039014b0e1d85e56713,0.0000000000,0.0000000000,0.0000000000,2015-05-03
8a10ca994b09d039014b0e1d85e56713,122.5000000000,140.0000000000,37.5000000000,2015-06-03
8a10ca994b09d039014b0e1d85e56713,122.5000000000,140.0000000000,37.5000000000,2015-07-03
8a10ca994b09d039014b0e1d85e56713,122.5000000000,140.0000000000,37.5000000000,2015-08-03
8a10ca994b09d039014b0e1d85e56713,2827.0000000000,140.0000000000,37.5000000000,2015-09-03
8a10ca994b09d039014b12219eae6bd3,250.0000000000,102.5000000000,7.5000000000,2015-03-03
8a10ca994b09d039014b12219eae6bd3,250.0000000000,75.0000000000,7.5000000000,2015-04-03
8a10ca994b09d039014b12219eae6bd3,249.5000000000,75.0000000000,7.5000000000,2015-05-03
8a10ca994b09d039014b12219eae6bd3,0.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10ca994b09d039014b12219eae6bd3,500.0000000000,149.9900000000,7.5000000000,2015-07-03
8a10ca994b09d039014b12219eae6bd3,0.0000000000,1.0100000000,7.5000000000,2015-08-03
8a10ca994b09d039014b12219eae6bd3,250.0000000000,145.0000000000,7.5000000000,2015-09-03
8a10ca994b09d039014b12219eae6bd3,500.5000000000,75.0000000000,7.5000000000,2015-10-03
8a10ca994b09d039014b123b79f007eb,214.2900000000,164.0000000000,15.0000000000,2015-03-03
8a10ca994b09d039014b123b79f007eb,214.2900000000,120.0000000000,15.0000000000,2015-04-03
8a10ca994b09d039014b123b79f007eb,214.2900000000,120.0000000000,15.0000000000,2015-05-03
8a10ca994b09d039014b123b79f007eb,214.2900000000,120.0000000000,15.0000000000,2015-06-03
8a10ca994b09d039014b123b79f007eb,214.2900000000,120.0000000000,15.0000000000,2015-07-03
8a10ca994b09d039014b123b79f007eb,214.2900000000,120.0000000000,15.0000000000,2015-08-03
8a10ca994b09d039014b123b79f007eb,214.2600000000,120.0000000000,15.0000000000,2015-09-03
8a10ca994b09d039014b123b79f007eb,1500.0000000000,120.0000000000,15.0000000000,2015-10-03
8a10ca994b09d039014b12f3084170d1,170.5700000000,207.7300000000,15.0000000000,2015-03-03
8a10ca994b09d039014b12f3084170d1,0.0000000000,0.0000000000,0.0000000000,2015-04-03
8a10ca994b09d039014b12f3084170d1,183.0000000000,302.0000000000,15.0000000000,2015-05-03
8a10ca994b09d039014b12f3084170d1,333.0000000000,152.0000000000,15.0000000000,2015-06-03
8a10ca994b09d039014b12f3084170d1,333.0000000000,152.0000000000,15.0000000000,2015-07-03
8a10ca994b09d039014b12f3084170d1,333.0000000000,152.0000000000,15.0000000000,2015-08-03
8a10ca994b09d039014b12f3084170d1,333.0000000000,152.0000000000,15.0000000000,2015-09-03
8a10ca994b09d039014b12f3084170d1,2114.4300000000,152.0000000000,15.0000000000,2015-10-03
8a10ca994b09d039014b1394d8a92641,0.0000000000,0.0000000000,0.0000000000,2015-02-03
8a10ca994b09d039014b1394d8a92641,0.0000000000,0.0000000000,0.0000000000,2015-03-03
8a10ca994b09d039014b1394d8a92641,829.0000000000,310.8800000000,15.0000000000,2015-04-03
8a10ca994b09d039014b1394d8a92641,829.0000000000,155.4400000000,7.5000000000,2015-05-03
8a10ca994b09d039014b1394d8a92641,2487.0000000000,155.4400000000,7.5000000000,2015-06-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-02-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-03-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-04-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-05-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-07-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-08-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10ca994b09d039014b1397f55a2811,0.0000000000,0.0000000000,0.0000000000,2015-10-03
8a10ca994b09d039014b1397f55a2811,7000.0000000000,750.0000000000,7.5000000000,2015-11-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-02-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-03-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-04-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-05-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-07-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-08-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10ca994b09d039014b13bb0f123611,0.0000000000,0.0000000000,0.0000000000,2015-10-03
8a10ca994b09d039014b13bb0f123611,2776.3200000000,104.1100000000,7.5000000000,2015-11-03
8a10ca994b09d039014b17413ad14387,0.0000000000,346.6700000000,7.5000000000,2015-03-03
8a10ca994b09d039014b17413ad14387,0.0000000000,260.0000000000,7.5000000000,2015-04-03
8a10ca994b09d039014b17413ad14387,0.0000000000,260.0000000000,7.5000000000,2015-05-03
8a10ca994b09d039014b17413ad14387,0.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10ca994b09d039014b17413ad14387,0.0000000000,252.5100000000,14.9900000000,2015-07-03
8a10ca994b09d039014b17413ad14387,0.0000000000,260.0000000000,7.5000000000,2015-08-03
8a10ca994b09d039014b17413ad14387,0.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10ca994b09d039014b17413ad14387,6500.0000000000,260.0000000000,7.5000000000,2015-10-03
8a10ca994b09d039014b1749475f4a2b,0.0000000000,186.6700000000,7.5000000000,2015-03-03
8a10ca994b09d039014b1749475f4a2b,0.0000000000,140.0000000000,7.5000000000,2015-04-03
8a10ca994b09d039014b1749475f4a2b,0.0800000000,140.0000000000,7.5000000000,2015-05-03
8a10ca994b09d039014b1749475f4a2b,0.0000000000,140.0000000000,7.5000000000,2015-06-03
8a10ca994b09d039014b1749475f4a2b,0.0000000000,140.0000000000,7.5000000000,2015-07-03
8a10ca994b09d039014b1749475f4a2b,3499.9200000000,140.0000000000,7.5000000000,2015-08-03
8a10cbf14bc9a509014bcbb4700c3c41,350.0000000000,168.0000000000,7.5000000000,2015-04-03
8a10cbf14bc9a509014bcbb4700c3c41,350.0000000000,140.0000000000,7.5000000000,2015-05-03
8a10cbf14bc9a509014bcbb4700c3c41,350.0000000000,140.0000000000,7.5000000000,2015-06-03
8a10cbf14bc9a509014bcbb4700c3c41,350.0000000000,140.0000000000,7.5000000000,2015-07-03
8a10cbf14bc9a509014bcbb4700c3c41,583.3300000000,140.0000000000,7.5000000000,2015-08-03
8a10cbf14bc9a509014bcbb4700c3c41,1516.6700000000,140.0000000000,7.5000000000,2015-09-03
8a10cbf14bc9a509014bcbbec4c94d39,0.0000000000,144.0000000000,7.5000000000,2015-04-03
8a10cbf14bc9a509014bcbbec4c94d39,1500.0000000000,120.0000000000,7.5000000000,2015-05-03
8a10cbf14bc9a509014bcbbec4c94d39,0.0000000000,120.0000000000,7.5000000000,2015-06-03
8a10cbf14bc9a509014bcbbec4c94d39,1500.0000000000,120.0000000000,7.5000000000,2015-07-03
8a10cbf14bc9a509014bcbc33e9f51f8,285.7400000000,192.0000000000,15.0000000000,2015-04-03
8a10cbf14bc9a509014bcbc33e9f51f8,0.0000000000,35.0100000000,15.0000000000,2015-05-03
8a10cbf14bc9a509014bcbc33e9f51f8,270.0100000000,284.9900000000,15.0000000000,2015-06-03
8a10cbf14bc9a509014bcbc33e9f51f8,301.4100000000,160.0000000000,15.0000000000,2015-07-03
8a10cbf14bc9a509014bcbc33e9f51f8,285.7100000000,160.0000000000,15.0000000000,2015-08-03
8a10cbf14bc9a509014bcbc33e9f51f8,0.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10cbf14bc9a509014bcbc33e9f51f8,0.0000000000,0.0000000000,0.0000000000,2015-10-03
8a10cbf14bc9a509014bcbc33e9f51f8,2857.1300000000,160.0000000000,15.0000000000,2015-11-03
8a10cbf14bc9a509014bcc02c0a51382,750.0000000000,288.0000000000,15.0000000000,2015-04-03
8a10cbf14bc9a509014bcc02c0a51382,395.0000000000,240.0000000000,15.0000000000,2015-05-03
8a10cbf14bc9a509014bcc02c0a51382,45.0000000000,240.0000000000,15.0000000000,2015-06-03
8a10cbf14bc9a509014bcc02c0a51382,45.0000000000,240.0000000000,15.0000000000,2015-07-03
8a10cbf14bc9a509014bcc02c0a51382,345.0000000000,240.0000000000,15.0000000000,2015-08-03
8a10cbf14bc9a509014bcc02c0a51382,0.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10cbf14bc9a509014bcc02c0a51382,0.0000000000,0.0000000000,0.0000000000,2015-10-03
8a10cbf14bc9a509014bcc02c0a51382,4420.0000000000,240.0000000000,15.0000000000,2015-11-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,391.6700000000,7.5000000000,2015-06-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2015-07-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2015-08-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2015-09-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2015-10-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2015-11-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2015-12-03
8a10ce754cc0d658014cc28d1fc35a52,625.0000000000,250.0000000000,7.5000000000,2016-01-03
8a10ce754cc0d658014cc293c588637e,200.0000000000,160.0000000000,7.5000000000,2015-06-03
8a10ce754cc0d658014cc293c588637e,200.0000000000,100.0000000000,7.5000000000,2015-07-03
